City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Country,Current Description
121,Medea,36.2642,2.7539,68.65,25,0,2.73,DZ,clear sky
122,Yenagoa,4.9247,6.2642,73.45,95,100,3.67,NG,overcast clouds
123,Port Alfred,-33.5906,26.891,53.19,77,0,3.0,ZA,clear sky
124,Shingu,33.7333,135.9833,83.34,64,100,2.3,JP,overcast clouds
125,Rock Springs,41.5875,-109.2029,83.64,31,20,13.8,US,few clouds
126,Keuruu,62.2667,24.7,59.81,99,74,4.63,FI,broken clouds
127,Chuy,-33.6971,-53.4616,45.99,88,0,8.93,UY,clear sky
128,Hasaki,35.7333,140.8333,75.6,82,91,12.84,JP,light rain
129,Namie,37.4833,141.0,71.98,89,99,5.53,JP,overcast clouds
130,Victoria,22.2855,114.1577,91.26,76,93,5.99,HK,overcast clouds
131,Vaini,-21.2,-175.2,76.89,85,12,19.73,TO,few clouds
132,Gizo,-8.103,156.8419,84.29,70,23,6.71,SB,few clouds
133,Isangel,-19.55,169.2667,84.31,79,75,9.22,VU,broken clouds
134,Beringovskiy,63.05,179.3167,49.98,87,100,6.24,RU,overcast clouds
135,Riyadh,24.6877,46.7219,87.94,12,35,10.25,SA,scattered clouds
136,Superior,46.7208,-92.1041,65.37,71,0,6.91,US,clear sky
137,Tabou,4.423,-7.3528,75.49,81,100,7.09,CI,overcast clouds
138,San Patricio,28.017,-97.5169,88.18,64,6,14.56,US,clear sky
139,Gasa,31.5,34.4667,68.88,70,0,5.99,PS,clear sky
140,Cortez,37.3489,-108.5859,75.51,38,14,8.21,US,few clouds
141,Kudahuvadhoo,2.6708,72.8944,82.36,76,32,11.92,MV,scattered clouds
142,Ostrovnoy,68.0531,39.5131,63.16,87,14,7.4,RU,few clouds
143,Coquimbo,-29.9533,-71.3436,55.13,87,75,9.22,CL,broken clouds
144,Zambezi,-13.5432,23.1047,48.25,70,1,4.14,ZM,clear sky
145,Vanimo,-2.6741,141.3028,84.67,68,100,2.95,PG,overcast clouds
146,Ola,59.5833,151.2833,80.15,81,96,8.61,RU,overcast clouds
147,Puerto Narino,-3.7703,-70.3831,76.91,82,100,1.61,CO,overcast clouds
148,Bull Savanna,17.8868,-77.5902,76.3,86,24,6.15,JM,few clouds
149,Hobyo,5.3505,48.5268,77.72,77,85,22.28,SO,overcast clouds
150,Anito,12.4497,125.2886,86.49,68,92,5.06,PH,overcast clouds
151,Balkhash,46.844,74.9804,70.41,35,0,13.42,KZ,clear sky
152,Klyuchevskiy,53.5317,119.4519,59.0,98,100,4.38,RU,light rain
153,Tieling,42.2931,123.8414,70.99,89,91,7.74,CN,overcast clouds
154,Airai,-8.9266,125.4092,65.44,60,99,4.09,TL,overcast clouds
155,Port Elizabeth,-33.918,25.5701,61.32,59,5,5.01,ZA,clear sky
156,Cidreira,-30.1811,-50.2056,57.85,82,1,21.21,BR,clear sky
157,Pinega,64.7001,43.3936,66.45,88,97,4.29,RU,overcast clouds
158,Provideniya,64.3833,-173.3,57.36,77,75,7.0,RU,broken clouds
159,Baringo,0.4667,35.9667,65.43,47,100,7.65,KE,overcast clouds
160,Turan,16.0678,108.2208,87.78,70,40,1.14,VN,scattered clouds
161,Vao,-22.6667,167.4833,71.69,72,95,30.53,NC,overcast clouds
162,Aguimes,27.9054,-15.4461,68.63,73,20,20.71,ES,few clouds
163,Neryungri,56.6709,124.6491,71.15,71,99,0.67,RU,overcast clouds
164,Mumford,5.2618,-0.759,74.86,87,100,10.71,GH,overcast clouds
165,Arlit,18.7369,7.3853,91.78,14,54,15.97,NE,broken clouds
166,Tazovskiy,67.4667,78.7,53.76,60,5,6.46,RU,clear sky
167,Amapa,1.0,-52.0,71.38,99,100,2.17,BR,overcast clouds
168,Eyl,7.9803,49.8164,80.28,63,99,26.24,SO,overcast clouds
169,Ponta Do Sol,32.6667,-17.1,68.72,76,29,2.84,PT,scattered clouds
170,Nador,35.174,-2.9287,73.65,94,0,4.61,MA,clear sky
171,Dingle,10.9995,122.6711,85.28,74,81,5.35,PH,broken clouds
172,The Valley,18.217,-63.0578,82.26,74,100,20.8,AI,overcast clouds
173,Half Moon Bay,37.4636,-122.4286,78.04,78,100,21.85,US,overcast clouds
174,Susanino,58.1461,41.5872,58.78,82,7,3.78,RU,clear sky
175,Leningradskiy,69.3833,178.4167,40.06,78,94,9.1,RU,overcast clouds
176,Genhe,50.7833,121.5167,63.27,95,100,3.89,CN,moderate rain
177,Tiksi,71.6872,128.8694,41.04,89,93,8.08,RU,overcast clouds
178,Faya,18.3851,42.4509,64.92,62,74,4.65,SA,broken clouds
179,Banepa,27.6298,85.5214,73.72,83,75,2.3,NP,broken clouds
180,Maniitsoq,65.4167,-52.9,44.38,80,3,10.83,GL,clear sky
181,Vostok,46.4856,135.8833,71.92,70,95,6.8,RU,overcast clouds
182,Carnarvon,-24.8667,113.6333,70.68,71,0,10.69,AU,clear sky
183,Iqaluit,63.7506,-68.5145,40.73,86,75,8.05,CA,broken clouds
184,Sooke,48.3746,-123.7276,72.52,67,45,33.38,CA,scattered clouds
185,Pavagada,14.1,77.2667,71.58,81,100,28.07,IN,overcast clouds
186,Svetlaya,46.5389,138.3297,62.67,99,100,4.54,RU,overcast clouds
187,Kochi,9.9399,76.2602,79.02,81,100,14.94,IN,overcast clouds
188,Lebu,-37.6167,-73.65,42.94,83,22,6.29,CL,few clouds
189,Port Macquarie,-31.4333,152.9167,57.29,72,65,18.28,AU,broken clouds
190,Kahului,20.8947,-156.47,81.97,89,37,14.0,US,scattered clouds
191,Touros,-5.1989,-35.4608,74.34,88,36,11.65,BR,scattered clouds
192,Whyalla,-33.0333,137.5833,54.1,60,0,3.36,AU,clear sky
193,Tommot,58.9564,126.2925,70.66,74,100,0.31,RU,overcast clouds
194,Port Blair,11.6667,92.75,80.64,89,100,9.22,IN,moderate rain
195,Sagua La Grande,22.8067,-80.0756,79.05,85,100,7.52,CU,overcast clouds
